id,name
850,Games Workshop(uk)
851,A K PETERS
852,Shaye Areheart Books
853,Penguin (Business)
854,House of Anansi Press
855,Cátedra
856,Routledge Falmer
857,Macmillan
858,Del Rey/Ballantine Books
859,Archaia
860,AVA Publishing
861,Forge
862,Europa Editions
863,Drawn and Quarterly
864,Paul Mellon Centre BA
865,Insight International
866,Four Ninety-Eight Productions
867,Berkley Hardcover
868,Berkley
869,Random House Books for Young Readers
870,Thames  Hudson
871,Carl Hanser
872,Poseidon Press
873,Hartley & Marks Publishers
874,Poppy
875,W Publishing Group
876,Citadel Press
877,Harbor Press
878,Harvard University Press
879,Sceptre
880,Silhouette Books
881,Vintage Crime
882,Dial
883,Hachette
884,Better Homes and Gardens Books
885,Henry Holt
886,Image Comics
887,Storey Publishing  LLC
888,University Press of America
889,University of Alaska Press
890,Howard Books
891,Batsford
892,Ebury Press
893,Manning Publications
894,HarperOne
895,Minnesota Heritage Publishing
896,Festival
897,One World/Ballantine
898,Inter-Varsity Press
899,Ravensburger Buchverlag
900,Science Fiction Book Club
901,Ash-Tree Press
902,Knopf Publishing Group
903,Random House Para Ninos
904,Bethany House Publishers
905,American Diabetes Association
906,The Disinformation Company (NYC)
907,Praeger
908,Kids Can Press
909,Dial Books
910,Meredith Corporation
911,Library of American Comics
912,Bradford Book
913,Orb Books
914,Larousse Kingfisher Chambers
915,HarperTrophy
916,Lectorum Publications
917,Kodansha International
918,Pelican Publishing
919,Mira (Mills and Boon)
920,Disinformation Company
921,Klincksieck
922,Charles Scribner's Sons
923,Octopus Books (London)
924,Da Capo Press
925,Little Simon
926,No Exit Press
927,Harvard University Press (Cambridge  MA)/Wm Heinemann Ltd. (London)
928,Modern Library Classics
929,Voice
930,Amadeus
931,Atheneum/Richard Jackson Books
932,Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas
933,Arthur A. Levine Books
934,Eos
935,Simon and Schuster
936,Westminster John Knox Press
937,Monkfish Book Publishing
938,Regnery History
939,McGraw-Hill/Glencoe
940,Prestwick House - (Literary Touchstone Classic)
941,Larousse
942,Sudamericana
943,Ullstein Tb
944,W.W. Norton & Company
945,Profile Books
946,Edimat Libros
947,Modern Language Association of America
948,Pocket Books / Simon & Schuster  Inc.
949,The Putnam & Grosset Group
950,International Polygonics
951,Globe
952,Games Workshop
953,Annick Press
954,Avon Books
955,Puffin Books (Penguin Books)
956,Thomas Nelson Publishers
957,Harper Element
958,Spark Publishing
959,Caedmon
960,Public Square Books
961,Little Brown
962,英文漢聲出版股份有限公司
963,Gotham
964,Aladdin
965,Listening Library
966,Yearling
967,Vision Forum
968,Fawcett Crest Books
969,Re/Search Publications
970,Parker Publishing Llc
971,Bantam Books (NY)
972,Scholastic Inc
973,Twin Palms Publishers
974,Inner Traditions International
975,Titan Books
976,Focus Publishing/R. Pullins Company
977,Ullstein
978,Harlequin Books
979,Cherry Red Books
980,Reclam  Leipzig
981,Prometheus Books
982,Ecco
983,The Harvill Press
984,Tor Science Fiction
985,Burford Books
986,Chicken House
987,George Braziller
988,Interlink Publishing Group
989,Health Communications Inc
990,North Point Press
991,MTV Books
992,Everyman's Library 234
993,Zenith Press
994,Pinnacle
995,Theatre Communications Group
996,Chronicle Books
997,Nelson Reference & Electronic Publishing
998,Penguin Books USA Inc.
999,Owlet Paperbacks
1000,Warners Visions Books
1001,Ballantine
1002,Corgi Childrens
1003,Barbour Books
1004,Viking Books for Young Readers
1005,Henry Holt and Company
1006,Limitless Corporation
1007,Inner City Books
1008,Deodand Publishing
1009,Coronet
1010,Dhv der Hörverlag
1011,Johns Hopkins University Press
1012,Yearling Books
1013,University of Arizona Press
1014,Grand Central Publishing
1015,Bloomsbury USA Children's Books
1016,Harcourt Brace & company
1017,North Light Books
1018,Sunburst
1019,Pan
1020,Young Picador
1021,Hovel Audio
1022,Gingko Press
1023,Margaret K. McElderry Books
1024,Wisdom Publications
1025,Tougher Disguises
1026,Sinauer Associates
1027,Alfred A. Knopf  Inc.
1028,Dutton Children's Books
1029,Heinemann
1030,Motorbooks International
1031,Ecco / HarperCollins
1032,New Island Books
1033,Ig Publishing
1034,University Of Chicago Press
1035,Métailié
1036,Fortress Press
1037,Random House Vintage Books
1038,Duke University Press Books
1039,P & R Publishing
1040,IVP Books
1041,Harlequin Historical
1042,Grand Central Publishing (Formerly Warner Books)
1043,Kregel Publications
1044,Granta UK
1045,Harcourt
1046,John Wiley
1047,Universe Publishing(NY)
1048,Harper Trophy
1049,Fab Press
1050,Usborne Books
1051,Kuperard
1052,Grove/Atlantic  Inc.
1053,Beckett Media
1054,Harlequin Blaze
1055,Ronin Publishing (CA)
1056,Rick Steves
1057,IndyPublish.com
1058,Oregon State University Press
1059,Dey Street Books
1060,Bantam Doubleday Dell Publishing Group
1061,Liveright Publishing Corp.
1062,Harvill Press
1063,Methuen Drama
1064,Imprint Academic
1065,Scholastic Inc.
1066,Thomas Publications (PA)
1067,Everyman Paperback Classics
1068,Random House Mondadori
1069,Overlook TP
1070,Vacation Work Publications
1071,Everyman Paperbacks
1072,Modern Library (NY)
1073,Signet
1074,講談社
1075,Grove Press  Granta
1076,Modern Publishing
1077,Spectra Books
1078,University of Pennsylvania Press
1079,Cornerstone Press Chicago
1080,HarperPerennial / Perennial Classics
1081,Delacorte Books for Young Readers
1082,Viking UK
1083,Joanna Cotler Books/HarperCollinsPublishers
1084,L.A. Weekly Books
1085,AIT Planet Lar
1086,HarperCollins Leadership
1087,Souvenir Press
1088,PerfectBound (HarperCollins)
1089,MacMillan
1090,Portfolio
1091,Headline Book Pub Ltd
1092,Napoleon and Co
1093,Books on Tape
1094,Grove Press  Open City Books
1095,dtv
1096,University of Chicago Press
1097,Pimsleur
1098,Laurel Leaf Library
1099,Hiperión
1100,Aivia Press
1101,Limelight
1102,Vintage/Ebury (A Division of Random House Group)
